bioproject_id,bibtex_key
PRJEB11419,pmid29795809,
PRJEB23282,pmid29878113,
PRJEB30970,pmid31354674,
PRJEB31590,pmid31265451,
PRJEB32265,pmid31456808,
PRJNA241408_PRJNA522449,pmid25603113,
PRJNA246028_PRJNA256169,pmid25408892,
PRJNA263505,,
PRJNA271113,,
PRJNA282687,,
PRJNA287840,Rossum259861,
PRJNA295773,pmid27878943,
PRJNA324410,,
PRJNA359237,,
PRJNA378860,,
PRJNA406830,,
PRJNA415280_PRJNA415285,pmid29417582,
PRJNA418896,pmid30076328,
PRJNA432446,,
PRJNA450848,pmid29915105,
PRJNA473079,,
PRJNA478949,pmid31462412,
PRJNA492720,pmid32351482,
PRJNA496065,,
PRJNA517449,pmid32341471,
PRJNA525366_PRJNA525614,pmid30944880,
PRJNA526458,pmid32440671,
PRJNA528359,pmid31809254,
PRJNA550037,doi-1365-2435.13611,
PRJNA561410_PRJNA561568,pmid32038589,
PRJNA606949,XIA2020107953,